name;category;B/AA
Selaginella selaginoides;Arc-alp;AA
Senecio vulgaris;Boreal;B
Sibbaldia procumbens;Arc-alp;AA
Silene acaulis;Arc-alp;AA
Silene dioica;Boreal;B
Silene flos-cuculi;Boreal;B
Silene involucrata;Arc;AA
Silene latifolia;Boreal;B
Silene suecica;Arc-alp;AA
Silene tatarica;Boreal;B
Silene uralensis;Arc;AA
Silene vulgaris;Boreal;B
Sinapis arvensis;Boreal;B
Sisymbrium altissimum;Boreal;B
Solanum dulcamara;Boreal;B
Solidago virgaurea;Boreal;B
Sonchus arvensis;Boreal;B
Sorbus aucuparia;Boreal;B
Sparganium angustifolium;Boreal;B
Sparganium emersum;Boreal;B
Sparganium gramineum;Boreal;B
Sparganium hyperboreum;Boreal;B
Sparganium natans;Boreal;B
Spergula arvensis;Boreal;B
Spergularia rubra;Boreal;B
Spinulum annotinum;Boreal;B
Stachys palustris;Boreal;B
Stachys sylvatica;Boreal;B
Stellaria alsine;Boreal;B
Stellaria borealis;Arc;AA
Stellaria crassifolia;Boreal;B
Stellaria graminea;Boreal;B
Stellaria longifolia;Boreal;B
Stellaria longipes;Arc;AA
Stellaria media;Boreal;B
Stellaria nemorum;Boreal;B
Stellaria palustris;Boreal;B
Stratiotes aloides;Boreal;B
Subularia aquatica;Boreal;B
Succisa pratensis;Boreal;B
Tanacetum vulgare;Boreal;B
Thalictrum alpinum;Arc-alp;AA
Thalictrum flavum;Boreal;B
Thalictrum minus;Arc-alp;AA
Thalictrum simplex;Boreal;B
Thelypteris palustris;Boreal;B
Thymus serpyllum;Boreal;B
Thysselinum palustre;Boreal;B
Tilia cordata;Boreal;B
Tofieldia pusilla;Boreal;B
Trichophorum alpinum;Boreal;B
Trichophorum cespitosum;Boreal;B
Trichophorum pumilum;Arc-alp;AA
Trifolium campestre;Boreal;B
Trifolium dubium;Boreal;B
Trifolium hybridum;Boreal;B
Trifolium medium;Boreal;B
Trifolium pratense;Boreal;B
Trifolium repens;Boreal;B
Trifolium spadiceum;Boreal;B
Triglochin palustris;Boreal;B
Tripleurospermum inodorum;Boreal;B
Tripleurospermum maritimum;Boreal;B
Trisetum spicatum;Arc-alp;AA
Trisetum subalpestre;Arc-alp;AA
Trollius europaeus;Boreal;B
Turritis glabra;Boreal;B
Tussilago farfara;Boreal;B
Ulmus glabra;Boreal;B
Urtica dioica;Boreal;B
Urtica urens;Boreal;B
Utricularia intermedia;Boreal;B
Utricularia minor;Boreal;B
Utricularia ochroleuca;Boreal;B
Utricularia stygia;Boreal;B
Utricularia vulgaris;Boreal;B
Vaccinium microcarpum;Boreal;B
Vaccinium myrtillus;Boreal;B
Vaccinium oxycoccos;Boreal;B
Vaccinium uliginosum;Boreal;B
Vaccinium vitis-idaea;Boreal;B
Vahlodea atropurpurea;Arc;AA
Valeriana officinalis;Boreal;B
Veratrum album;Arc-alp;AA
Verbascum thapsus;Boreal;B
Veronica alpina;Arc-alp;AA
Veronica chamaedrys;Boreal;B
Veronica fruticans;Arc-alp;AA
Veronica longifolia;Boreal;B
Veronica officinalis;Boreal;B
Veronica scutellata;Boreal;B
Veronica serpyllifolia;Boreal;B
Viburnum opulus;Boreal;B
Vicia cracca;Boreal;B
Vicia sativa;Boreal;B
Vicia sepium;Boreal;B
Vicia sylvatica;Boreal;B
Viola arvensis;Boreal;B
Viola biflora;Arc-alp;AA
Viola canina;Boreal;B
Viola epipsila;Boreal;B
Viola mirabilis;Boreal;B
Viola palustris;Boreal;B
Viola riviniana;Boreal;B
Viola rupestris;Boreal;B
Viola selkirkii;Boreal;B
Viola tricolor;Boreal;B
Viscaria vulgaris;Boreal;B
Woodsia alpina;Arc-alp;AA
Woodsia glabella;Arc-alp;AA
Woodsia ilvensis;Boreal;B
Angelica archangelica;Arc-alp;AA
Alchemilla;Boreal;B
Antennaria canescens;Arc;AA
Deschampsia atropurpurea;Arc-alp;AA
Hieracium alpinum;Arc-alp;AA
Taraxacum;Boreal;B
