X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Height,CWM.Seed_mass,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site1519331,7622,7,7,1.1037385377595046,1.1037385377595046,1.1037385377595046,0.6520936290889294,7,7,2.736226765787037,0.597248951486192,0.9031188371225063,0.7344358927244652,1.933131913736728,3.954522750797211,-0.9670361262585975,-0.03286064927794402,0.5740820749766652,-0.6829555666022604,-0.3041484249408899,-0.7161170470055221,-0.5565933316069923
site1519530,7623,27,7,2.922164420057036,2.922164420057036,2.922164420057036,0.6520936290889294,27,27,14.09897425022719,0.597248951486192,0.8509853160198496,0.6409151928988247,1.9745409688451445,4.792270729886447,-0.2124215627078427,0.04415638884353107,0.8385121992999541,-0.5049102761599512,-0.2747161818363337,-0.252900669201117,-0.5166107753723015
site1519724,7624,21,7,2.5402039820841718,2.5402039820841718,2.5402039820841718,0.6520936290889294,21,21,11.242583113855826,0.597248951486192,0.8629999468509622,0.7184339597032946,2.042734806498699,4.94098404146547,-0.42987659424508673,0.03981021445361533,0.8474615369953246,-0.47605404870275375,-0.48906497494745377,-0.20679205444754978,-0.4838272310915065
site1519923,7625,26,7,2.896253017939527,2.896253017939527,2.896253017939527,0.6520936290889294,26,26,20.3085454280759,0.597248951486192,0.8576550218041467,0.7165656213608265,2.1547144933117,5.850036700066242,-0.41271011627055193,-0.0812039502958103,0.5350013333145639,-0.2734206392302673,-0.1694347662643365,-0.10632241308484522,-0.1755586704175048
site1520121,7626,5,7,0.7305062607257706,0.7305062607257706,0.7305062607257706,0.6520936290889294,5,5,1.6009386027352182,0.597248951486192,0.8511799737751073,0.8242398074866333,1.5424642999580944,2.4361751680416757,-0.49966165971153464,0.11109779343803518,-0.20933706364125243,-0.23533391643105192,0.013111710598851183,-0.3611647676409947,-0.3785418890831739
site1520324,7627,29,7,3.4645911805484007,3.4645911805484007,3.4645911805484007,0.6520936290889294,29,29,14.530550868770915,0.597248951486192,0.8663924302310227,0.6662690135703976,2.0564407566609835,5.017283299394259,-0.16171217378214048,0.011110164529315266,0.7053263604508361,-0.40024406680111224,-0.3634908948394041,-0.3204520988874208,-0.6098516519709376
site1520517,7628,23,7,2.5486449715514863,2.5486449715514863,2.5486449715514863,0.6520936290889294,23,23,13.273856596041796,0.597248951486192,0.8695037345010821,0.6556197236290255,2.09067603141716,5.26217666903418,-0.3345606046808348,-0.015317919455249428,0.846121407137828,-0.4817507150765735,-0.28342650103648814,-0.19562672536481174,-0.44416506811019724
site1520714,7629,9,7,1.2668293463066023,1.2668293463066023,1.2668293463066023,0.6520936290889294,9,9,3.1453187927848156,0.597248951486192,0.8759651879077552,0.6718056355723573,1.766256111276172,3.480390133416356,-0.6688343881749234,-0.16866589542394214,0.8508987070958878,-0.6778863145189598,-0.5195048239738668,-0.60341598207752,-0.5642239374672531
site1520919,7630,45,7,4.7277476631760775,4.7277476631760775,4.7277476631760775,0.6520936290889294,45,45,21.38438731340593,0.597248951486192,0.8687352585738131,0.6928089169528311,1.997848262996231,4.764225046686734,-0.23569027581999522,-0.04958939461398445,0.2301480502625328,-0.15659799888645035,-0.2001752247288273,-0.2590459415096716,-0.23847862736406575
site1521111,7631,27,7,3.118047194781602,3.118047194781602,3.118047194781602,0.6520936290889294,27,27,14.004256501854405,0.597248951486192,0.8607449336489789,0.6545909511722259,1.9302449552998118,4.4955605276831365,-0.16735998142370948,0.04176354211788773,0.7692281876983071,-0.4757962843392744,-0.3679213697775547,-0.3219412833081167,-0.6112734412258588
site1521308,7632,9,7,1.266606137166267,1.266606137166267,1.266606137166267,0.6520936290889294,9,9,2.891129432158596,0.597248951486192,0.8625812371043322,0.7415748114530265,1.7792852714525453,3.324651365387859,-0.47493642002991426,-0.2883287651526065,0.8613039457207693,-0.6873169911866707,-0.08404842805085705,-0.07964723535775596,-0.3416605034006382
site1521501,7633,6,7,0.8791701173973429,0.8791701173973429,0.8791701173973429,0.6520936290889294,6,6,1.6918116843899227,0.597248951486192,0.7909633150803949,0.6924902487749407,1.4677791538469132,2.5545028046893155,-0.8641154133706708,-0.18907838364459725,1.3445483647755319,-0.8445863708504352,-0.6495810502345012,-1.3181867807982093,-0.6252946430940525
site1521707,7634,30,7,3.2315352748441892,3.2315352748441892,3.2315352748441892,0.6520936290889294,30,30,14.09897425022719,0.597248951486192,0.8773276513466878,0.6522531067976571,2.0000363721572527,4.798852878872698,-0.1736267133715373,0.061765832326030494,0.6827487411856592,-0.44036974707143756,-0.28706165619521856,-0.28694556740170385,-0.4803371156889171
site1521899,7635,26,7,2.9651168093736477,2.9651168093736477,2.9651168093736477,0.6520936290889294,26,26,14.004256501854405,0.597248951486192,0.8977751846027945,0.6655749631266854,2.0060366889768204,4.742084520179621,-0.17282501361352912,0.05303849891363869,0.827484890900519,-0.4920750564147891,-0.35986818125899955,-0.2547315153465333,-0.5400840292234489
site1522092,7636,3,7,0.5703883917175891,0.5703883917175891,0.5703883917175891,0.6520936290889294,3,3,0.3806446706207587,0.597248951486192,0.5397059126880293,0.7514720790124338,2.001808496001134,4.418032393900827,-1.052650916100073,0.1352710378886804,0.9759694716010786,-0.923591220797551,-1.0135303284747408,-0.951148667376202,-0.7884118254483873
site1522289,7637,3,7,0.5693456502390514,0.5693456502390514,0.5693456502390514,0.6520936290889294,3,3,0.11061624689686629,0.597248951486192,0.9275672272163926,0.7599832615565995,1.2728605443381733,1.6311394694690102,-0.8300069934532951,0.2545090505680837,-0.38026157551185913,-0.8431527269327522,0.750727991390485,-0.2287719076643425,-0.01172729816851878
site1522489,7638,30,7,3.472872127022183,3.472872127022183,3.472872127022183,0.6520936290889294,30,30,16.338103495895268,0.597248951486192,0.8351832376997904,0.6475701715799349,2.0307290681989847,5.053241095607628,-0.13317855312495525,0.040299942194889304,0.8371716381570582,-0.5080877356001384,-0.37541751886555863,-0.3016547188392783,-0.6088263767192965
site1522683,7639,21,7,2.3749450416829068,2.3749450416829068,2.3749450416829068,0.6520936290889294,21,21,12.355761661526234,0.597248951486192,0.834189022973415,0.7155405531665849,2.1013768617257598,5.368510421541255,-0.45726895105789833,-0.01824518838231451,0.8749957212176152,-0.526927833021126,-0.4930641829329641,-0.2087465350806702,-0.5125688474685148
